id,code,name,parentid,parentcode,parentname,parentslug,slug
5a4468486f7af13a5a457c1e,IAB3-10,Logistics,5a42ed6e527d3d240b8140d4,IAB3,Business,business,logistics
5a4468486f7af13a5a457c1f,IAB3-11,Marketing,5a42ed6e527d3d240b8140d4,IAB3,Business,business,marketing
5a4468486f7af13a5a457c20,IAB3-12,Metals,5a42ed6e527d3d240b8140d4,IAB3,Business,business,metals
5a4468486f7af13a5a457c21,IAB3-1,Advertising,5a42ed6e527d3d240b8140d4,IAB3,Business,business,advertising
5a4468486f7af13a5a457c22,IAB14-1,Dating,5a42ed6e527d3d240b8140df,IAB14,Society,society,Dating
5a4468486f7af13a5a457c23,IAB14-2,Divorce Support,5a42ed6e527d3d240b8140df,IAB14,Society,society,Divorce_Support
5a4468486f7af13a5a457c24,IAB14-3,Gay Life,5a42ed6e527d3d240b8140df,IAB14,Society,society,Gay_Life
5a4468486f7af13a5a457c25,IAB14-4,Marriage,5a42ed6e527d3d240b8140df,IAB14,Society,society,Marriage
5a4468486f7af13a5a457c26,IAB14-5,Senior Living,5a42ed6e527d3d240b8140df,IAB14,Society,society,Senior_Living
5a4468486f7af13a5a457c27,IAB14-7,Weddings,5a42ed6e527d3d240b8140df,IAB14,Society,society,Weddings
5a4468486f7af13a5a457c28,IAB14-6,Teens,5a42ed6e527d3d240b8140df,IAB14,Society,society,Teens
5a4468486f7af13a5a457c29,IAB14-8,Ethnic Specific,5a42ed6e527d3d240b8140df,IAB14,Society,society,Ethnic_Specific
5a4468486f7af13a5a457c2a,IAB19-4,C/C++,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,C_C++
5a4468486f7af13a5a457c2b,IAB19-2,Animation,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Animation
5a4468486f7af13a5a457c2c,IAB19-8,Network,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,network
5a4468486f7af13a5a457c2d,IAB19-11,Data Centers,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Data_Centers
5a4468486f7af13a5a457c2e,IAB19-12,Databases,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Databases
5a4468486f7af13a5a457c2f,IAB19-18,Internet Technology,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Internet_Technology
5a4468486f7af13a5a457c30,IAB19-19,Java,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Java
5a4468486f7af13a5a457c31,IAB19-31,Unix,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Unix
5a4468486f7af13a5a457c32,IAB19-30,Shareware/Freeware,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Shareware_Freeware
5a4468486f7af13a5a457c33,IAB19-34,Web Design/HTML,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Web_Design_HTML
5a4468486f7af13a5a457c34,IAB19-32,Visual Basic,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,visual_basic
5a4468486f7af13a5a457c35,IAB19-36,Windows,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,windows
5a4468486f7af13a5a457c36,IAB19-38,Perl,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,perl
5a4468486f7af13a5a457c37,IAB19-37,PHP,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,php
5a4468486f7af13a5a457c38,IAB19-35,Search Engine,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,search_engine
5a4468486f7af13a5a457c39,IAB19-20,JavaScript,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,javascript
5a4468486f7af13a5a457c3a,IAB19-39,PL/SQL,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,pl_sql
5a4468486f7af13a5a457c3b,IAB19-40,Graph Database,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,graph_database
5a4468486f7af13a5a457c3c,IAB19-43,R,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,R
5a4468486f7af13a5a457c3d,IAB19-42,Assembly languages,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Assembly_languages
5a4468486f7af13a5a457c3e,IAB19-41,MongoDB,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,mongodb
5a4468486f7af13a5a457c3f,IAB19-44,AngularJS,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,angularjs
5a4468486f7af13a5a457c40,IAB19-47,C#,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,C#
5a4468486f7af13a5a457c41,IAB19-45,ReactJS,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,reactjs
5a4468486f7af13a5a457c42,IAB19-48,F#,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,F#
5a4468486f7af13a5a457c43,IAB19-49,Swift,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,swift
5a4468486f7af13a5a457c44,IAB19-50,Android,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,android
5a4468486f7af13a5a457c45,IAB19-52,C/C++,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,C/C++
5a4468486f7af13a5a457c46,IAB19-51,Linux,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,linux
5a4468486f7af13a5a457c47,IAB19-53,Functional Programming,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,functional_programming
5a4468486f7af13a5a457c48,IAB19-54,Haskell,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,haskell
5a4468486f7af13a5a457c49,IAB19-55,Clojure,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,clojure
5a4468486f7af13a5a457c4a,IAB19-56,Python,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,python
5a4468486f7af13a5a457c4b,IAB19-57,Ruby,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,ruby
5a4468486f7af13a5a457c4c,IAB19-58,Programming,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,programming
5a4468486f7af13a5a457c4d,IAB19-59,Web Developer,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,web_developer
5a4468486f7af13a5a457c4e,IAB19-61,NodeJS,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,nodejs
5a4468486f7af13a5a457c4f,IAB19-60,FullStack,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,fullstack
5a4468486f7af13a5a457c50,IAB19-62,Golang,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,golang
5a4468486f7af13a5a457c51,IAB19-46,.Net,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,.net
5a4468486f7af13a5a457c52,IAB23-1,Alternative Religions,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Alternative_Religions
5a4468486f7af13a5a457c53,IAB23-2,Atheism/Agnosticism,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Atheism_Agnosticism
5a4468486f7af13a5a457c54,IAB23-3,Buddhism,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Buddhism
5a4468486f7af13a5a457c55,IAB23-4,Catholicism,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Catholicism
5a4468486f7af13a5a457c56,IAB23-5,Christianity,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Christianity
5a4468486f7af13a5a457c57,IAB23-6,Hinduism,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Hinduism
5a4468486f7af13a5a457c58,IAB23-7,Islam,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Islam
5a4468486f7af13a5a457c59,IAB23-9,Latter-Day Saints,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Latter_Day_Saints
5a4468486f7af13a5a457c5a,IAB23-10,Pagan/Wiccan,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Pagan_Wiccan
5a4468486f7af13a5a457c5b,IAB23-8,Judaism,5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,religion_spirituality,Judaism
5a4468486f7af13a5a457c5c,IAB19-64,Security,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,security
5a4468486f7af13a5a457c5d,IAB14-9,Culture,5a42ed6e527d3d240b8140df,IAB14,Society,society,Culture
5a4468486f7af13a5a457c5e,IAB19-65,Startup,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,startup
5a4468486f7af13a5a457c5f,IAB19-66,Audio Video,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,audio_video
5a4468486f7af13a5a457c60,IAB19-67,Mobile,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,mobile
5a4468486f7af13a5a457c61,IAB3-13,Technology,5a42ed6e527d3d240b8140d4,IAB3,Business,business,technology
5a4468486f7af13a5a457c62,IAB3-14,Acquisition,5a42ed6e527d3d240b8140d4,IAB3,Business,business,acquisition
5a4468486f7af13a5a457c63,IAB3-15,Automobiles,5a42ed6e527d3d240b8140d4,IAB3,Business,business,automobiles
5a4468486f7af13a5a457c64,IAB3-16,Chemicals,5a42ed6e527d3d240b8140d4,IAB3,Business,business,chemicals
5a4468486f7af13a5a457c65,IAB3-17,Pharmaceuticals,5a42ed6e527d3d240b8140d4,IAB3,Business,business,pharmaceuticals
5a4468486f7af13a5a457c66,IAB3-18,Real Estate,5a42ed6e527d3d240b8140d4,IAB3,Business,business,real_estate
5a4468486f7af13a5a457c67,IAB19-68,Gaming,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gaming
5a4468486f7af13a5a457c68,IAB19-69,MOOC,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,mooc
5a4468486f7af13a5a457c69,IAB19-70,Streaming,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,streaming
5a4468486f7af13a5a457c6a,IAB19-71,Machine Learning,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,machine_learning
5a4468486f7af13a5a457c6b,IAB19-72,Artificial Intelligence,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,artificial_intelligence
5a4468486f7af13a5a457c6c,IAB19-73,Google,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,google
5a4468486f7af13a5a457c6d,IAB19-74,Apple,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,apple
5a4468486f7af13a5a457c6e,IAB19-75,Facebook,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,facebook
5a4468486f7af13a5a457c6f,IAB19-76,Open Source,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,open_source
5a4468486f7af13a5a457c70,IAB19-77,Amazon,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,amazon
5a4468486f7af13a5a457c71,IAB19-78,Microsoft,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,microsoft
5a4468486f7af13a5a457c72,IAB19-79,Uber,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,uber
5a4468486f7af13a5a457c73,IAB19-80,Alibaba,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,alibaba
5a4468486f7af13a5a457c74,IAB19-81,DevOps,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,devops
5a4468486f7af13a5a457c75,IAB19-82,iOS,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,ios
5a446c8c3139fa3abfb1ac81,IAB19-83,Crypto Currencies,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,crypto_currencies
5a4470ab527d3d3ad9df9553,IAB19-84,Gadgets,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gadgets
5a4479943139fa3abfb1ac82,IAB22-1,Home,5a42ed6e527d3d240b8140e8,IAB22,Shopping,shopping,home
5a4489153139fa3abfb1ac83,IAB15-1,Climate,5a42ed6e527d3d240b8140e0,IAB15,Science,science,climate
5a448a0a3139fa3abfb1ac84,IAB15-2,Space,5a42ed6e527d3d240b8140e0,IAB15,Science,science,space
5a44ab45527d3d3ad9df957a,IAB22-2,Gadgets,5a42ed6e527d3d240b8140e8,IAB22,Shopping,shopping,gadgets
5a44ab69527d3d3ad9df957b,IAB22-3,Computing,5a42ed6e527d3d240b8140e8,IAB22,Shopping,shopping,computing
5a44c0f9527d3d3ad9df9589,IAB19-85,Robotics,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,robotics
5a44ca02527d3d3ad9df958c,IAB2-1,Autonomous Cars,5a42ed6e527d3d240b8140d5,IAB2,Automotive,automotive,autonomous_cars
5a44ce8b527d3d3ad9df9591,IAB7-1,Addiction,5a42ed6e527d3d240b8140da,IAB7,Health & Fitness,health_fitness,addiction
5a44d18b527d3d3ad9df9595,IAB7-2,Sex Robots,5a42ed6e527d3d240b8140da,IAB7,Health & Fitness,health_fitness,sex_robots
5a44d2a0527d3d3ad9df959c,IAB14-10,Sex,5a42ed6e527d3d240b8140df,IAB14,Society,society,sex
5a44d8d7527d3d3ad9df95b9,IAB12-1,Politics,5a42ed6e527d3d240b8140ea,IAB12,News,news,politics
5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,5a42ed6e527d3d240b8140ea,IAB12,News,news,us_news
5a44d906527d3d3ad9df95bb,IAB12-3,UK News,5a42ed6e527d3d240b8140ea,IAB12,News,news,uk_news
5a44d910527d3d3ad9df95bc,IAB12-4,India News,5a42ed6e527d3d240b8140ea,IAB12,News,news,india_news
5a44d923527d3d3ad9df95bd,IAB12-5,Australia News,5a42ed6e527d3d240b8140ea,IAB12,News,news,australia_news
5a44d947527d3d3ad9df95be,IAB12-6,Russia News,5a42ed6e527d3d240b8140ea,IAB12,News,news,russia_news
5a44d952527d3d3ad9df95bf,IAB12-7,China News,5a42ed6e527d3d240b8140ea,IAB12,News,news,china_news
5a44d956527d3d3ad9df95c0,IAB12-8,Asia News,5a42ed6e527d3d240b8140ea,IAB12,News,news,asia_news
5a4b39850978e16b1b883b97,IAB12-9,International News,5a42ed6e527d3d240b8140ea,IAB12,News,news,international_news
5a4b39e40978e16b1b883b98,IAB12-10,Technology News,5a42ed6e527d3d240b8140ea,IAB12,News,news,technology_news
5a4b51510978e16b1b883bb4,IAB19-86,AeroSpace,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,aerospace
5a4db5ab9081ed0ff24b08d1,IAB3-19,Startup,5a42ed6e527d3d240b8140d4,IAB3,Business,business,startup
5a4e2b9c8744ee7d5b5b6fa3,IAB19-87,Transportation,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,transportation
5a52e8b22d78da4f8509a649,IAB15-3,Medicine,5a42ed6e527d3d240b8140e0,IAB15,Science,science,medicine
5a608886562365630d3df864,IAB3-20,VC Funding,5a42ed6e527d3d240b8140d4,IAB3,Business,business,vc_funding
5a609216562365630d3df865,IAB3-21,Mobile,5a42ed6e527d3d240b8140d4,IAB3,Business,business,mobile
5a61d4f566a0660406e8be62,IAB19-88,Publishing,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,publishing
5a61e2f966a0660406e8be63,IAB3-22,Retail,5a42ed6e527d3d240b8140d4,IAB3,Business,business,retail
5a784778f62461715b4bba57,IAB1-1,Humor,5a42ed6e527d3d240b8140d6,IAB1,Arts & Entertainment,arts_entertainment,humor
5a7847c5f62461715b4bba58,IAB1-2,Movies,5a42ed6e527d3d240b8140d6,IAB1,Arts & Entertainment,arts_entertainment,movies
5a7847d1f62461715b4bba59,IAB1-3,Music,5a42ed6e527d3d240b8140d6,IAB1,Arts & Entertainment,arts_entertainment,music
5a7847edf62461715b4bba5a,IAB1-4,Television,5a42ed6e527d3d240b8140d6,IAB1,Arts & Entertainment,arts_entertainment,television
5a784821f62461715b4bba5b,IAB17-1,Cricket,5a42ed6e527d3d240b8140e2,IAB17,Sports,sports,cricket
5a784876f62461715b4bba5c,IAB17-2,Football,5a42ed6e527d3d240b8140e2,IAB17,Sports,sports,football
5a7848d4f62461715b4bba5d,IAB17-3,Formula One,5a42ed6e527d3d240b8140e2,IAB17,Sports,sports,formula_one
5a7aca2fa492bbce78684bca,IAB17-4,Tennis,5a42ed6e527d3d240b8140e2,IAB17,Sports,sports,tennis
